residencia_provincia_nombre,sepi_apertura,n,max_fecha_diagnostico,max_fecha_inicio_sintomas,count_fecha_diagnostico,confirmados,descartados,sospechosos,fallecidos,tests,sin.clasificar,letalidad.min.porc,letalidad.max.porc,positividad.porc,internados,internados.porc,cuidado.intensivo,cuidado.intensivo.porc,respirador,respirador.porc,dias.diagnostico,dias.apertura,dias.cuidado.intensivo,dias.fallecimiento,dias.inicio,confirmados.inc,confirmados.rate,fallecidos.inc,tests.inc,tests.rate,sospechosos.inc
Buenos Aires,10,47,2020-03-15,2020-03-07,13,2,44,1,0,29,0,0,0,0.069,2,1,1,0.5,1,0.5,6,4,7,NaN,4,NA,NA,NA,NA,NA,NA
Buenos Aires,11,251,2020-09-28,2020-07-11,30,29,209,13,2,189,0,0.048,0.069,0.153,27,0.931,4,0.138,3,0.103,29.4,-0.7,4.5,14,5,NA,NA,NA,NA,NA,NA
Buenos Aires,12,710,2020-09-28,2020-07-11,51,121,549,40,4,540,0,0.025,0.033,0.224,95,0.785,13,0.107,7,0.058,18.8,2.6,8.5,15.5,6,NA,NA,NA,NA,NA,NA
Buenos Aires,13,1663,2020-10-02,2020-07-11,88,320,1274,69,22,1377,0,0.057,0.069,0.232,228,0.713,34,0.106,22,0.069,20.7,3.7,7.1,19.4,7,NA,NA,NA,NA,NA,NA
Buenos Aires,14,3699,2020-10-02,2020-07-30,119,526,3057,116,44,3321,0,0.069,0.084,0.158,372,0.707,58,0.11,39,0.074,22.9,4.5,7.4,17.9,8,NA,NA,NA,NA,NA,NA
Buenos Aires,15,6547,2020-10-04,2020-09-12,156,754,5612,181,77,6083,0,0.082,0.102,0.124,510,0.676,84,0.111,53,0.07,25,4.4,6.7,20.1,9,NA,NA,NA,NA,NA,NA
Buenos Aires,16,10903,2020-10-04,2020-09-12,187,1142,9510,251,110,10348,0,0.079,0.096,0.11,684,0.599,102,0.089,62,0.054,25.6,4,9,23.3,10,NA,NA,NA,NA,NA,NA
Buenos Aires,17,17204,2020-10-04,2020-09-12,211,1771,15080,353,169,16528,0,0.08,0.095,0.107,916,0.517,128,0.072,72,0.041,27.7,3.5,9.6,25.2,11,NA,NA,NA,NA,NA,NA
Buenos Aires,18,22771,2020-10-04,2020-09-28,214,2300,20051,420,240,22009,0,0.088,0.104,0.105,1083,0.471,144,0.063,81,0.035,26.8,2.5,9.6,26.3,12,NA,NA,NA,NA,NA,NA
Buenos Aires,19,28350,2020-10-04,2020-09-28,217,2841,24974,535,296,27461,0,0.088,0.104,0.103,1266,0.446,164,0.058,86,0.03,26.7,2.5,8.9,28.4,13,NA,NA,NA,NA,NA,NA
Buenos Aires,20,35376,2020-10-04,2020-09-29,218,3679,31030,667,354,34343,0,0.081,0.096,0.107,1568,0.426,197,0.054,102,0.028,25.5,2.5,9.1,28.5,14,NA,NA,NA,NA,NA,NA
Buenos Aires,21,45115,2020-10-04,2020-09-29,219,5482,38686,947,464,43785,0,0.072,0.085,0.125,2138,0.39,253,0.046,120,0.022,21.9,2.6,8.5,28.8,15,NA,NA,NA,NA,NA,NA
